address,classification,details,fone,link,name,position,link_problem,has_instagram,has_facebook,facebook_link,instagram_link
"R. Duque de Caxias, 141","4,5",Imobiliária, (47) 99994-0042 · ,/aclk?sa=l&ai=DChcSEwjp9afnmNjrAhVBD5EKHTiUD9QYABABGgJjZQ&sig=AOD64_3NLVIJy1eEZqGozA8pRu8qNN9O3g&adurl&q&ctype=99,Denis Alexandre - Negócios Imobiliários,1,True,,,,
"Avenida Brasil, 772 esquina c/ Rua 1.111 Centro","4,5",Imobiliária, (47) 3366-2666 · ,/aclk?sa=l&ai=DChcSEwjp9afnmNjrAhVBD5EKHTiUD9QYABAAGgJjZQ&sig=AOD64_1Gg_n1A0Xiy_MRhUYQrKG7_okqwQ&adurl&q&ctype=99,Central do Imóvel,2,True,,,,
"Av. Min. Victor Konder, 330","3,7",Imobiliária, (47) 3341-3000 · ,http://www.maximoveis.com.br/,Max Imóveis Itajaí - Vendas e Locação Garantida,3,,True,True,https://www.facebook.com/maximobiliaria/,https://www.instagram.com/maximoveissc/
"Av. Min. Victor Konder, 210","4,0",Imobiliária, (47) 3348-6315 · ,http://www.tradicaoimobiliaria.com.br/,Tradição Imobiliária,4,,False,False,,
"R. Uruguai, Nº 1348","4,1",Imobiliária, (47) 3346-5389 · ,http://www.araujoimobiliaria.com.br/,Araújo Imóveis,5,,False,True,http://www.facebook.com/pages/Araujo-Imoveis-Itaja%C3%AD-SC/550154341675698,
"Av. Joca Brandão, 744","3,5",Imobiliária, (47) 3349-6600 · ,http://www.imobiliariasuprema.com.br/,Imobiliária Suprema,6,True,,,,
"R. Alm. Barroso, 489","4,7",Imobiliária, (47) 3348-0102 · ,https://www.imobiliariamuller.com/,Imobiliária Müller,7,True,,,,
"R. Lauro Muller, 655","4,1",Imobiliária, (47) 3246-0606 · ,https://www.vivaimoveisitajai.com.br/,Viva Imóveis,8,True,,,,
"R. Lauro Muller, 978","3,9",Imobiliária, (47) 3348-1124 · ,http://www.tolentinoimoveis.com.br/,Imobiliária Tolentino,9,,False,True,https://www.facebook.com/imobiliaria.tolentino,
"R. Samuel Heusi, 422","3,9",Imobiliária, (47) 3348-5423 · ,http://www.imobiliariaguerreiro.com.br/,Guerreiro Imobiliária,10,,True,True,,
"R. Estefano José Vanolli, 606","4,7",Imobiliária, (47) 3246-5501 · ,http://www.imoveishouse.com.br/,House Imóveis,11,,True,True,,
"R. Flamboyant, 90","5,0",Imobiliária, (47) 99958-3177 · ,http://www.imoveisnabrava.com/,IMOVEIS NA BRAVA,12,,True,True,http://facebook.com/imoveisnabrava,https://www.instagram.com/imoveisnabrava
"Av. Sete de Setembro, 1439","4,0",Imobiliária, (47) 3045-6200 · ,http://i3imobiliaria.com.br/,I3 Imóveis,13,True,,,,
"R. Dr. Hermes Atílio Mariani, 438","4,0",Imobiliária, (47) 3246-0609 · ,http://www.barcelosimobiliaria.com.br/,BARCELOS IMOBILIÁRIA,14,,False,True,https://www.facebook.com/barcelosimobiliaria,
"RIVIERA Bussiness & Mall - Av. Osvaldo Reis, 3281","4,2",Imobiliária, (47) 3045-7577 · ,https://www.lopes.com.br/busca/comprar-prontos/todos-itajai-sc/todos,AMDG LOPES GOLD,15,,True,True,https://www.facebook.com/imobiliaria.lopes,https://www.instagram.com/lopesimoveis/
"R. Estefano José Vanolli, 771","4,6",Imobiliária, (47) 3241-5298 · ,http://www.francelinoimoveis.com.br/,Francelino Imóveis,16,,True,True,,
"R. Fiuza Lima, 330, S","5,0",Imobiliária, (47) 99973-6559 · ,https://www.paulochavesimoveis.com.br/,Paulo Chaves Consultoria Imobiliária Itajaí Desde 2009,17,True,,,,
"Rua João Bauer, 225","4,1",Imobiliária, (47) 3349-3331 · ,http://www.mercedesimoveis.com.br/,Mercedes Imóveis,18,True,,,,
"R. Onze de Junho, 92 - Sala 03 e 04","4,8",Imobiliária, (47) 3348-6620 · ,https://www.casanobreimobiliaria.com/,Imobiliária Casa Nobre,19,,True,True,,
"R. Alberto Werner, 240","3,8",Imobiliária, (47) 3348-1585 · ,http://www.imobiliariabenge.com.br/,Benge Imobiliária,21,,True,True,https://www.facebook.com/imobiliaria.benge,https://www.instagram.com/bengeimobiliaria/
