address,classification,details,fone,link,name,position,link_problem,has_instagram,has_facebook,instagram_link,facebook_link
"       Av. Sete de Setembro, 51 - Centro, Itajaí - SC, 88301-201      ","4,2",Loja de cosmético,       (47) 3075-0966      ,       lojasmc.com.br      ,Mega Cosméticos,1,True,True,True,http://instagram.com/megacosmeticos,
"       R. Indaial, 725 - São Judas, Itajaí - SC, 88303-303      ","4,4",Loja de cosmético,       (47) 3045-1026      ,       facebook.com      ,Thaysi Cosméticos,2,True,True,True,,https://web.facebook.com/help/568137493302217
"       R. Felipe Schmidt, 314 - Centro, Itajaí - SC, 88301-041      ","4,3",Loja de cosmético,       (47) 3349-6654      ,       lojasmc.com.br      ,MegaPro Cosméticos,3,True,True,True,http://instagram.com/megacosmeticos,
"       R. Dr. Reinaldo Schmithausen, N: 2105 - Sala 02 - Cordeiros, Itajaí - SC, 88310-002      ","4,4",Loja de cosmético,       (47) 99725-5940      ,,Magnitude Cosméticos,4,,,,,
"       R. Estefano José Vanolli, 1358 - São Vicente, Itajaí - SC, 88309-202      ","4,8",Loja de cosmético,       (47) 3346-3759      ,       thaysicosmeticos.com.br      ,Thaysi Cosméticos,5,True,True,True,https://www.instagram.com/thaysicosmeticos/,https://www.facebook.com/thaysicosmeticos/
"       R. Dr. Reinaldo Schmithausen, 1280 - Cordeiros, Itajaí - SC, 88310-001      ","4,2",Loja de cosmético,       (47) 3248-2288      ,       thaysicosmeticos.com.br      ,Thaysi Cosméticos,6,True,True,True,https://www.instagram.com/thaysicosmeticos/,https://www.facebook.com/thaysicosmeticos/
"       R. Arquiteto Nilson Edson dos Santos, 915 - São Vicente, Itajaí - SC, 88309-401      ","5,0",Loja de cosmético,       (47) 3045-2190      ,       thaysicosmeticos.com.br      ,Thaysi Cosméticos,8,True,True,True,https://www.instagram.com/thaysicosmeticos/,https://www.facebook.com/thaysicosmeticos/
"       R. Indaial, 1474 - São João, Itajaí - SC, 88304-300      ","4,3",Loja de cosmético,       (47) 3246-1412      ,,Florata Cosméticos e Perfumaria,9,,,,,
"       R. Indaial, 750 - São Judas, Itajaí - SC, 88303-302      ","5,0",Loja de cosmético,       (47) 3046-0016      ,       cotiro.com.br      ,Cotirô Cosméticos,10,True,,,,
"       R. Indaial, 2021 - São João, Itajaí - SC, 88304-301      ","5,0",Loja de cosmético,       (47) 3045-1026      ,       thaysicosmeticos.com.br      ,Thaysi Cosméticos e Perfumaria,11,True,True,True,https://www.instagram.com/thaysicosmeticos/,https://www.facebook.com/thaysicosmeticos/
,,,,,,12,,,,,
"       R. Hercílio Luz, 222 - Centro, Itajaí - SC, 88301-001      ","4,3",Loja de cosmético,       (48) 99696-6256      ,       cotiro.com.br      ,Cotirô Cosméticos,13,True,,,,
"       R. das Azaléias, 426 - Cidade Nova, Itajaí - SC, 88308-140      ","4,8",Loja de cosmético,       (47) 99640-4701      ,,Sempre Bella Cosméticos Itajai,14,,,,,
"       Rua Gustavo Bernedt, 357 - Cordeiros, Itajaí - SC, 88310-551      ","5,0",Loja de cosmético,       (47) 3045-1668      ,,Essencial Cosméticos,15,,,,,
